station,date,latitude,longitude,elevation,name,actual_mean,temp_attributes,dewp,dewp_attributes,slp,slp_attributes,stp,stp_attributes,visib,visib_attributes,wdsp,wdsp_attributes,mxspd,gust,actual_high,max_attributes,actual_low,min_attributes,prcp,prcp_attributes,sndp,fog,rain,snow,hail,thunder,tornado,year,year_2,month,day,day_of_year,precip,actual_precip_ytd
72565003017,1995-05-09,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.1,24,35.1,24,1006.1,24,829,24,9.7,24,15.5,24,32.1,43.9,54,NA,36.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,9,2000-05-09,0,2.96
72565003017,1995-05-10,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",47.7,24,35,24,1016.3,24,837.5,24,9.9,24,11.2,24,24.1,30.9,59,*,37,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,10,2000-05-10,0,2.96
72565003017,1995-05-11,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",52.3,24,37.4,24,1009.1,24,832.2,24,9.7,24,6.3,24,10.1,999.9,66.9,*,37,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,11,2000-05-11,0,2.96
72565003017,1995-05-12,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",54.3,24,42.9,24,994.4,24,820.6,24,9.7,24,5.3,24,12,999.9,66.9,NA,39.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,12,2000-05-12,0,2.96
72565003017,1995-05-13,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",51.4,24,26.3,24,994.2,24,820.1,24,9.9,24,10.7,24,22,25.8,64,NA,41,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,13,2000-05-13,0,2.96
72565003017,1995-05-14,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.7,24,32,24,1014.2,24,835.3,24,9.9,24,10.2,24,19,999.9,64,NA,33.1,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,14,2000-05-14,0,2.96
72565003017,1995-05-15,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",58.8,24,39.5,24,1011.9,24,835,24,9.9,24,6.9,24,13,16.9,82,*,33.1,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,15,2000-05-15,0,2.96
72565003017,1995-05-16,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",61,24,41,24,1003.5,24,829.7,24,9.8,24,8.7,24,15,22,82.9,NA,41.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,16,2000-05-16,0,2.96
72565003017,1995-05-17,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",46,24,44.1,24,1004.7,24,827.3,24,6.3,24,11.7,24,19,24.9,68,NA,39.9,*,0.35,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,17,2000-05-17,0.35,3.31
72565003017,1995-05-18,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.1,24,39.3,24,1012.1,24,833.5,24,9.9,24,7.4,24,15.9,999.9,64,*,37.9,NA,0.81,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,18,2000-05-18,0.81,4.12
72565003017,1995-05-19,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",53.6,24,43.2,24,1013.9,24,836.4,24,9.6,24,6.5,24,13,999.9,66,*,37.9,NA,0.2,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,19,2000-05-19,0.2,4.32
